Job_ID,Company,Job_title,Job_simple,Max_Salary,Pay_Period,Location,Company_ID,Min_Salary,Work_Type,Remote_Allowed,Experience_Level,Compensation_Type,Normalized_Salary,skill,industry_name
3901361348,DataAnnotation,Data Analyst,Data Analyst,75000,YEARLY,"Irving, TX",96139831,65000,Contract,1,null,BASE_SALARY,null,Engineering,Software Development
3901373790,SNVA Technologies,Data Analyst,Data Analyst,75000,YEARLY,"Juno Beach, FL",14439628,65000,Contract,0,null,BASE_SALARY,null,Information Technology,Information Technology & Services
3901376493,DataAnnotation,Data Analyst,Data Analyst,75000,YEARLY,Greater Phoenix Area,96139831,65000,Contract,1,null,BASE_SALARY,null,Engineering,Software Development
3901376813,Apex Systems,Data Analyst,Data Analyst,75000,YEARLY,Greater Cleveland,4787,65000,Full-time,0,Mid-Senior level,BASE_SALARY,null,Information Technology,Manufacturing
3901377487,DataAnnotation,Data Analyst,Data Analyst,75000,YEARLY,Greater Minneapolis-St. Paul Area,96139831,65000,Contract,1,null,BASE_SALARY,null,Engineering,Software Development
3901381028,DataAnnotation,Data Analyst,Data Analyst,75000,YEARLY,Dallas-Fort Worth Metroplex,96139831,65000,Contract,1,null,BASE_SALARY,null,Engineering,Software Development
3901388643,DataAnnotation,Data Analyst,Data Analyst,75000,YEARLY,Atlanta Metropolitan Area,96139831,65000,Contract,1,null,BASE_SALARY,null,Engineering,Software Development
3901388800,DataAnnotation,Data Analyst,Data Analyst,75000,YEARLY,Los Angeles Metropolitan Area,96139831,65000,Contract,1,null,BASE_SALARY,null,Engineering,Software Development
3901389241,DataAnnotation,Data Analyst,Data Analyst,75000,YEARLY,Greater Chicago Area,96139831,65000,Contract,1,null,BASE_SALARY,null,Engineering,Software Development
3901389262,DataAnnotation,Data Analyst,Data Analyst,75000,YEARLY,Greater Boston,96139831,65000,Contract,1,null,BASE_SALARY,null,Engineering,Software Development
3901389371,DataAnnotation,Data Analyst,Data Analyst,75000,YEARLY,"Brooklyn, NY",96139831,65000,Contract,1,null,BASE_SALARY,null,Engineering,Software Development
3901390524,DataAnnotation,Data Analyst,Data Analyst,75000,YEARLY,"Long Beach, CA",96139831,65000,Contract,1,null,BASE_SALARY,null,Research,Software Development
3901391072,DataAnnotation,Data Analyst,Data Analyst,75000,YEARLY,"Fairfax, VA",96139831,65000,Contract,1,null,BASE_SALARY,null,Engineering,Software Development
3901391187,DataAnnotation,Data Analyst,Data Analyst,75000,YEARLY,Buffalo-Niagara Falls Area,96139831,65000,Contract,1,null,BASE_SALARY,null,Engineering,Software Development
3901392127,DataAnnotation,Data Analyst,Data Analyst,75000,YEARLY,Omaha Metropolitan Area,96139831,65000,Contract,1,null,BASE_SALARY,null,Engineering,Software Development
3901392636,DataAnnotation,Data Analyst,Data Analyst,75000,YEARLY,"Arlington, VA",96139831,65000,Contract,1,null,BASE_SALARY,null,Engineering,Software Development
3901393469,DataAnnotation,Data Analyst,Data Analyst,75000,YEARLY,Greater Sacramento,96139831,65000,Contract,1,null,BASE_SALARY,null,Research,Software Development
3901393644,DataAnnotation,Data Analyst,Data Analyst,75000,YEARLY,"Santa Clara, CA",96139831,65000,Contract,1,null,BASE_SALARY,null,Engineering,Software Development
3901395329,DataAnnotation,Data Analyst,Data Analyst,75000,YEARLY,"Oakland, CA",96139831,65000,Contract,1,null,BASE_SALARY,null,Engineering,Software Development
3901457333,Coders Data,Data Analyst,Data Analyst,75000,YEARLY,"Tampa, FL",14508644,65000,Full-time,1,Entry level,BASE_SALARY,null,Information Technology,IT Services and IT Consulting
3901461025,Coders Data,Data Analyst,Data Analyst,75000,YEARLY,San Francisco Bay Area,14508644,65000,Full-time,1,Entry level,BASE_SALARY,null,Information Technology,IT Services and IT Consulting
3901624928,Carpe,Data Analyst,Data Analyst,75000,YEARLY,"Durham, NC",25177185,65000,Full-time,0,null,BASE_SALARY,null,Analyst,Retail
3901631218,Brightly,Data Analyst,Data Analyst,75000,YEARLY,"Cary, NC",79992924,65000,Full-time,1,Entry level,BASE_SALARY,null,Information Technology,Software Development
